txop_num,duration,termination_time,From,To,Ended Properly
2500,44,3123963351,1c:28:af:1f:0d:91,e4:c7:67:98:f7:6f,no
2501,45,3123963574,e4:c7:67:98:f7:6f,1c:28:af:1f:0d:91,no
2502,61,3123964738,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,no
2503,44,3123965089,e4:c7:67:98:f7:6f,1c:28:af:1f:0d:91,no
2504,44,3123968847,1c:28:af:1f:0d:91,e4:c7:67:98:f7:6f,no
2505,44,3123969083,1c:28:af:1f:0d:91,e4:c7:67:98:f7:6f,no
2506,45,3123969344,e4:c7:67:98:f7:6f,1c:28:af:1f:0d:91,no
2507,44,3123970112,e4:c7:67:98:f7:6f,1c:28:af:1f:0d:91,no
2508,44,3123972763,1c:28:af:1f:0d:91,e4:c7:67:98:f7:6f,no
2509,60,3123982879,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
2510,60,3123985735,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
2511,111,3123988000,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2512,47,3123989888,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2513,47,3123990921,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2514,46,3123998530,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2515,44,3123999718,7e:b4:96:5e:af:45,1c:28:af:1f:0d:91,no
2516,116,3124000057,7e:b4:96:5e:af:45,1c:28:af:1f:0d:91,yes
2517,46,3124003249,1c:28:af:1f:0d:91,7e:b4:96:5e:af:45,no
2518,47,3124005340,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2519,61,3124010335,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,no
2520,60,3124013692,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,no
2521,44,3124036781,1c:28:af:1f:0d:91,e4:c7:67:98:f7:6f,no
2522,44,3124037345,e4:c7:67:98:f7:6f,1c:28:af:1f:0d:91,no
2523,112,3124049575,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2524,50,3124055245,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2525,44,3124061328,7e:b4:96:5e:af:45,1c:28:af:1f:0d:91,no
2526,48,3124062366,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2527,48,3124066495,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2528,47,3124074684,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2529,51,3124077923,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2530,47,3124078261,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2531,131,3124078890,f6:1d:7c:23:62:7f,Unknown,yes
2532,47,3124086579,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2533,47,3124089411,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2534,46,3124091377,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
